team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
380,11790,Steven Vitoria,14031,Milan Borjan,284.9666666666667,23,-0.059774024037660065,-0.018878215569269174,0.5217391304347826
380,1228,Jonathan Osorio,9094,Cyle Larin,74.7,2,-0.015758271580667383,-0.01898586937429805,0.5
385,13371,Bryan Oviedo,13783,Bryan Ruiz,20.166666666666668,2,-0.004272157901689898,-0.019065828652169787,1.0
382,13996,Hassan Tambakti,14006,Ali Al-Hassan,52.266666666666666,1,-0.011092379235162863,-0.019100397917691154,0.0
379,4174,Jean-Charles Castelletto,5074,Bryan Mbeumo,161.26666666666665,9,-0.03424122797148438,-0.019109407921250068,0.5555555555555556
371,13858,Josip Juranovic,13861,Bruno Petkovic,191.3166666666667,5,-0.0406278810612662,-0.019112340598557143,0.4
365,127,Diogo Dalot,4666,Raphaël Guerreiro,144.81666666666666,1,-0.030824121913117914,-0.01915643438034719,1.0
376,12514,Piotr Zielinski,13852,Damian Szymanski,34.31666666666667,3,-0.007319571739821772,-0.019196545602252337,0.3333333333333333
382,13995,Abdulelah Al-Amri,13996,Hassan Tambakti,113.44999999999999,4,-0.024233476075103743,-0.019224441134943475,0.25
369,1368,Jose Gimenez,8133,Matias Vecino,205.63333333333333,18,-0.0439250224221295,-0.019224762609782727,0.4444444444444444
384,1931,Ethan Ampadu,10039,Joe Morrell,35.4,1,-0.007568525923789584,-0.019242015060481996,0.0
379,6655,Nicolas N'Koulou,8741,Gael Ondoua,57.58333333333333,2,-0.012317763524056854,-0.019252076130219106,0.5
50,105,Mason Mount,136,Marcus Rashford,51.45,1,-0.011143354844706454,-0.019492748999486508,1.0
371,100,Mateo Kovacic,1665,Ante Budimir,28.666666666666668,3,-0.006213502776599194,-0.019507508717230025,0.3333333333333333
384,1698,Gareth Bale,7008,Brennan Johnson,67.46666666666667,1,-0.014650572847473045,-0.019543748363723922,1.0
50,265,Declan Rice,1377,Kieran Trippier,197.66666666666666,48,-0.04305046583655811,-0.019601392539410945,0.5625
370,4661,Manuel Akanji,13880,Fabian Frei,35.93333333333334,4,-0.007984405554359798,-0.01999804730683808,0.5
378,14023,Mohamed Ali Ben Romdhane,14028,Issam Jebali,14.833333333333334,1,-0.0032978056508134526,-0.02000915788134005,0.0
57,9981,Ritsu Doan,13801,Yuki Soma,66.31666666666666,1,-0.014832929660105937,-0.020130138267045003,0.0
384,7966,Kieffer Moore,10039,Joe Morrell,41.266666666666666,1,-0.009239384236120605,-0.020150514892993243,1.0
365,133,Bruno Fernandes,8079,Matheus Nunes,18.15,3,-0.004079686675497553,-0.02022985128345894,0.3333333333333333
52,1383,Koke,1394,Alvaro Morata,64.78333333333333,2,-0.014572581933395754,-0.020244904152389265,0.0
361,132,Fred,2074,Raphinha,69.75,8,-0.01569680112111051,-0.020253936930465174,0.375
52,96,César Azpilicueta,1829,Carlos Soler,41.53333333333333,2,-0.00936057489896398,-0.020283749781061594,0.0
360,13946,Pedro Miguel,13961,Akram Afif,273.56666666666666,22,-0.06182300164340308,-0.020338991645813126,0.3181818181818182
385,13780,Keysher Fuller,13785,Gerson Torres,64.06666666666666,4,-0.014487147953803448,-0.02035135248453138,0.75
385,13781,Celso Borges,13784,Johan Venegas,73.23333333333333,3,-0.016592444591197145,-0.020391260990547243,0.6666666666666666
386,8854,Jackson Irvine,13819,Mitchell Duke,272.29999999999995,6,-0.06200971770245191,-0.020495316170476213,0.6666666666666666
382,13992,Ali Al-Bulayhi,13998,Salem Al-Dawsari,236.88333333333333,15,-0.054112157476800475,-0.020559041045150397,0.6666666666666666
361,1683,Casemiro,3930,Lucas Paquetá,305.5833333333333,41,-0.07058677559201641,-0.020789123981286538,0.4146341463414634
378,4142,Dylan Bronn,14022,Aissa Laidouni,154.43333333333334,10,-0.03570047057220756,-0.020805368129713016,0.5
367,7443,Christian Eriksen,12022,Andreas Cornelius,109.1,8,-0.025257731725106886,-0.02083589234885078,0.625
365,4912,André Silva,8000,Joao Mario,16.116666666666667,2,-0.003766807267555316,-0.021034911318302693,0.5
365,17,João Cancelo,4666,Raphaël Guerreiro,158.85,4,-0.03714083828238824,-0.021042967865375774,1.0
57,2090,Hiroki Sakai,10704,Kaoru Mitoma,33.25,1,-0.0077792319135930234,-0.021056567585665327,1.0
374,12777,Abdelhamid Sabiri,13862,Munir,28.45,1,-0.006679160458402174,-0.021129154349954153,1.0
51,70,Cameron Carter-Vickers,5135,Josh Sargent,76.91666666666667,1,-0.01814760091621328,-0.02123446261052041,0.0
366,1812,Luuk de Jong,8034,Steven Berghuis,26.016666666666666,1,-0.0061606168666109296,-0.021311550979948125,1.0
58,2106,Edson Alvarez,3414,Alexis Vega,136.08333333333331,5,-0.032223943312438066,-0.021311609784098663,0.6
363,3890,Youssouf Fofana,4622,Kingsley Coman,112.35,14,-0.026647163850243696,-0.02134619267042219,0.5714285714285714
365,133,Bruno Fernandes,6038,Nuno Mendes,41.4,5,-0.009827739420276366,-0.021364650913644274,0.2
373,12222,Majid Hosseini,13983,Mehdi Torabi,95.25,6,-0.022658337795124613,-0.021409453034763413,0.3333333333333333
381,6596,Jeremy Sarmiento,9837,Jackson Porozo,34.75,1,-0.008291003866240931,-0.02147310353846572,1.0
52,1841,Pau Torres,8344,Alex Balde,67.88333333333334,51,-0.0162463048519033,-0.021539417186417338,0.49019607843137253
384,2083,Joe Rodon,6018,Connor Roberts,215.51666666666665,19,-0.05162950124532795,-0.021560537214814858,0.47368421052631576
